"time, indoor_temperature","time, indoor_humidity"
"2021-03-15T00:00:00.000+01:00,""24.2""","2021-03-15T00:22:49.380+01:00,""38"""
"2021-03-15T01:00:00.000+01:00,""24.2""","2021-03-15T00:50:49.213+01:00,""38"""
"2021-03-15T02:00:00.000+01:00,""24.2""","2021-03-15T01:18:49.046+01:00,""38"""
"2021-03-15T03:00:00.000+01:00,""24.2""","2021-03-15T01:46:48.879+01:00,""38"""
"2021-03-15T04:00:00.000+01:00,""24.2""","2021-03-15T02:14:48.712+01:00,""38"""
"2021-03-15T05:00:00.000+01:00,""24.2""","2021-03-15T02:42:48.545+01:00,""38"""
"2021-03-15T06:00:00.000+01:00,""24.2""","2021-03-15T03:10:48.378+01:00,""38"""
"2021-03-15T07:00:00.000+01:00,""24.2""","2021-03-15T03:38:48.211+01:00,""38"""
"2021-03-15T08:00:00.000+01:00,""24.2""","2021-03-15T04:06:48.044+01:00,""38"""
"2021-03-15T09:00:00.000+01:00,""24.2""","2021-03-15T04:34:47.877+01:00,""38"""
"2021-03-15T10:00:00.000+01:00,""24.2""","2021-03-15T05:02:47.710+01:00,""38"""
"2021-03-15T11:00:00.000+01:00,""24.2""","2021-03-15T05:30:47.543+01:00,""38"""
"2021-03-15T12:00:00.000+01:00,""24.2""","2021-03-15T05:58:47.376+01:00,""38"""
"2021-03-15T13:00:00.000+01:00,""24.2""","2021-03-15T06:26:47.209+01:00,""38"""
"2021-03-15T14:00:00.000+01:00,""24.2""","2021-03-15T06:54:47.042+01:00,""38"""
"2021-03-15T15:00:00.000+01:00,""24.17""","2021-03-15T07:22:46.875+01:00,""38"""
"2021-03-15T16:00:00.000+01:00,""23.2""","2021-03-15T07:50:46.708+01:00,""38"""
"2021-03-15T17:00:00.000+01:00,""23.2""","2021-03-15T08:18:46.541+01:00,""38"""
"2021-03-15T18:00:00.000+01:00,""23.2""","2021-03-15T08:46:46.374+01:00,""38"""
"2021-03-15T19:00:00.000+01:00,""23.2""","2021-03-15T09:14:46.207+01:00,""38"""
"2021-03-15T20:00:00.000+01:00,""23.2""","2021-03-15T09:42:46.040+01:00,""38"""
"2021-03-15T21:00:00.000+01:00,""23.2""","2021-03-15T10:10:45.873+01:00,""38"""
"2021-03-15T22:00:00.000+01:00,""23.2""","2021-03-15T10:38:45.706+01:00,""38"""
"2021-03-15T23:00:00.000+01:00,""23.7""","2021-03-15T11:06:45.539+01:00,""38"""
"2021-03-16T00:00:00.000+01:00,""24.2""","2021-03-15T11:34:45.372+01:00,""38"""
"2021-03-16T01:00:00.000+01:00,""24.2""","2021-03-15T12:02:45.205+01:00,""38"""
"2021-03-16T02:00:00.000+01:00,""24.2""","2021-03-15T12:30:45.038+01:00,""38"""
"2021-03-16T03:00:00.000+01:00,""24.2""","2021-03-15T12:58:44.871+01:00,""38"""
"2021-03-16T04:00:00.000+01:00,""24.2""","2021-03-15T13:26:44.704+01:00,""38"""
"2021-03-16T05:00:00.000+01:00,""24.2""","2021-03-15T13:54:44.537+01:00,""38"""
"2021-03-16T06:00:00.000+01:00,""24.2""","2021-03-15T14:22:44.370+01:00,""38"""
"2021-03-16T07:00:00.000+01:00,""24.2""","2021-03-15T14:50:44.203+01:00,""38"""
"2021-03-16T08:00:00.000+01:00,""24.2""","2021-03-15T15:18:44.036+01:00,""38"""
"2021-03-16T09:00:00.000+01:00,""24.2""","2021-03-15T15:46:43.869+01:00,""32"""
"2021-03-16T10:00:00.000+01:00,""24.2""","2021-03-15T16:14:43.702+01:00,""30"""
"2021-03-16T11:00:00.000+01:00,""24.2""","2021-03-15T16:42:43.535+01:00,""30"""
"2021-03-16T12:00:00.000+01:00,""24.2""","2021-03-15T17:10:43.368+01:00,""30"""
"2021-03-16T13:00:00.000+01:00,""23.61""","2021-03-15T17:38:43.201+01:00,""30"""
"2021-03-16T14:00:00.000+01:00,""23.6""","2021-03-15T18:06:43.034+01:00,""30"""
"2021-03-16T15:00:00.000+01:00,""23.6""","2021-03-15T18:34:42.867+01:00,""30"""
"2021-03-16T16:00:00.000+01:00,""23.6""","2021-03-15T19:02:42.700+01:00,""30"""
"2021-03-16T17:00:00.000+01:00,""23.6""","2021-03-15T19:30:42.533+01:00,""30"""
"2021-03-16T18:00:00.000+01:00,""23.6""","2021-03-15T19:58:42.366+01:00,""30"""
"2021-03-16T19:00:00.000+01:00,""23.6""","2021-03-15T20:26:42.199+01:00,""30"""
"2021-03-16T20:00:00.000+01:00,""23.6""","2021-03-15T20:54:42.032+01:00,""30"""
"2021-03-16T21:00:00.000+01:00,""23.6""","2021-03-15T21:22:41.865+01:00,""30"""
"2021-03-16T22:00:00.000+01:00,""23.6""","2021-03-15T21:50:41.698+01:00,""30"""
"2021-03-16T23:00:00.000+01:00,""23.77""","2021-03-15T22:18:41.531+01:00,""30"""
"2021-03-17T00:00:00.000+01:00,""25.2""","2021-03-15T22:46:41.364+01:00,""30"""
"2021-03-17T01:00:00.000+01:00,""25.2""","2021-03-15T23:14:41.197+01:00,""32"""
"2021-03-17T02:00:00.000+01:00,""25.2""","2021-03-15T23:42:41.030+01:00,""35"""
"2021-03-17T03:00:00.000+01:00,""25.2""","2021-03-16T00:10:40.863+01:00,""35"""
"2021-03-17T04:00:00.000+01:00,""25.2""","2021-03-16T00:38:40.696+01:00,""35"""
"2021-03-17T05:00:00.000+01:00,""25.2""","2021-03-16T01:06:40.529+01:00,""35"""
"2021-03-17T06:00:00.000+01:00,""25.2""","2021-03-16T01:34:40.362+01:00,""35"""
"2021-03-17T07:00:00.000+01:00,""25.2""","2021-03-16T02:02:40.195+01:00,""35"""
"2021-03-17T08:00:00.000+01:00,""25.2""","2021-03-16T02:30:40.028+01:00,""35"""
"2021-03-17T09:00:00.000+01:00,""23.5""","2021-03-16T02:58:39.861+01:00,""35"""
"2021-03-17T10:00:00.000+01:00,""23.5""","2021-03-16T03:26:39.694+01:00,""35"""
"2021-03-17T11:00:00.000+01:00,""23.5""","2021-03-16T03:54:39.527+01:00,""35"""
"2021-03-17T12:00:00.000+01:00,""23.5""","2021-03-16T04:22:39.360+01:00,""35"""
"2021-03-17T13:00:00.000+01:00,""23.5""","2021-03-16T04:50:39.193+01:00,""35"""
"2021-03-17T14:00:00.000+01:00,""25.2""","2021-03-16T05:18:39.026+01:00,""35"""
"2021-03-17T15:00:00.000+01:00,""25.2""","2021-03-16T05:46:38.859+01:00,""35"""
"2021-03-17T16:00:00.000+01:00,""25.2""","2021-03-16T06:14:38.692+01:00,""35"""
"2021-03-17T17:00:00.000+01:00,""25.2""","2021-03-16T06:42:38.525+01:00,""35"""
"2021-03-17T18:00:00.000+01:00,""25.2""","2021-03-16T07:10:38.358+01:00,""35"""
"2021-03-17T19:00:00.000+01:00,""25.2""","2021-03-16T07:38:38.191+01:00,""35"""
"2021-03-17T20:00:00.000+01:00,""25.2""","2021-03-16T08:06:38.024+01:00,""35"""
"2021-03-17T21:00:00.000+01:00,""25.2""","2021-03-16T08:34:37.857+01:00,""35"""
"2021-03-17T22:00:00.000+01:00,""25.2""","2021-03-16T09:02:37.690+01:00,""35"""
"2021-03-17T23:00:00.000+01:00,""25.2""","2021-03-16T09:30:37.523+01:00,""35"""
"2021-03-18T00:00:00.000+01:00,""25.2""","2021-03-16T09:58:37.356+01:00,""35"""
"2021-03-18T01:00:00.000+01:00,""26.7""","2021-03-16T10:26:37.189+01:00,""35"""
"2021-03-18T02:00:00.000+01:00,""26.7""","2021-03-16T10:54:37.022+01:00,""35"""
"2021-03-18T03:00:00.000+01:00,""26.7""","2021-03-16T11:22:36.855+01:00,""35"""
"2021-03-18T04:00:00.000+01:00,""26.7""","2021-03-16T11:50:36.688+01:00,""35"""
"2021-03-18T05:00:00.000+01:00,""26.7""","2021-03-16T12:18:36.521+01:00,""35"""
"2021-03-18T06:00:00.000+01:00,""26.72""","2021-03-16T12:46:36.354+01:00,""33"""
"2021-03-18T07:00:00.000+01:00,""26.72""","2021-03-16T13:14:36.187+01:00,""31"""
"2021-03-18T08:00:00.000+01:00,""25.5""","2021-03-16T13:42:36.020+01:00,""31"""
"2021-03-18T09:00:00.000+01:00,""25.5""","2021-03-16T14:10:35.853+01:00,""31"""
"2021-03-18T10:00:00.000+01:00,""25.5""","2021-03-16T14:38:35.686+01:00,""31"""
"2021-03-18T11:00:00.000+01:00,""25.5""","2021-03-16T15:06:35.519+01:00,""31"""
"2021-03-18T12:00:00.000+01:00,""25.2""","2021-03-16T15:34:35.352+01:00,""31"""
"2021-03-18T13:00:00.000+01:00,""25.2""","2021-03-16T16:02:35.185+01:00,""31"""
"2021-03-18T14:00:00.000+01:00,""25.2""","2021-03-16T16:30:35.018+01:00,""31"""
"2021-03-18T15:00:00.000+01:00,""25.2""","2021-03-16T16:58:34.851+01:00,""31"""
"2021-03-18T16:00:00.000+01:00,""25.2""","2021-03-16T17:26:34.684+01:00,""31"""
"2021-03-18T17:00:00.000+01:00,""25.2""","2021-03-16T17:54:34.517+01:00,""31"""
"2021-03-18T18:00:00.000+01:00,""25.2""","2021-03-16T18:22:34.350+01:00,""31"""
"2021-03-18T19:00:00.000+01:00,""25.2""","2021-03-16T18:50:34.183+01:00,""31"""
"2021-03-18T20:00:00.000+01:00,""25.2""","2021-03-16T19:18:34.016+01:00,""31"""
"2021-03-18T21:00:00.000+01:00,""25.2""","2021-03-16T19:46:33.849+01:00,""31"""
"2021-03-18T22:00:00.000+01:00,""25.2""","2021-03-16T20:14:33.682+01:00,""31"""
"2021-03-18T23:00:00.000+01:00,""25.2""","2021-03-16T20:42:33.515+01:00,""31"""
"2021-03-19T00:00:00.000+01:00,""25.2""","2021-03-16T21:10:33.348+01:00,""31"""
"2021-03-19T01:00:00.000+01:00,""25.2""","2021-03-16T21:38:33.181+01:00,""31"""
"2021-03-19T02:00:00.000+01:00,""25.2""","2021-03-16T22:06:33.014+01:00,""31"""
"2021-03-19T03:00:00.000+01:00,""25.2""","2021-03-16T22:34:32.847+01:00,""31"""
"2021-03-19T04:00:00.000+01:00,""25.2""","2021-03-16T23:02:32.680+01:00,""31"""
"2021-03-19T05:00:00.000+01:00,""25.2""","2021-03-16T23:30:32.513+01:00,""32"""
"2021-03-19T06:00:00.000+01:00,""25.2""","2021-03-16T23:58:32.346+01:00,""40"""
"2021-03-19T07:00:00.000+01:00,""25.2""","2021-03-17T00:26:32.179+01:00,""40"""
"2021-03-19T08:00:00.000+01:00,""25.2""","2021-03-17T00:54:32.012+01:00,""40"""
"2021-03-19T09:00:00.000+01:00,""25.2""","2021-03-17T01:22:31.845+01:00,""40"""
"2021-03-19T10:00:00.000+01:00,""25.2""","2021-03-17T01:50:31.678+01:00,""40"""
"2021-03-19T11:00:00.000+01:00,""25.2""","2021-03-17T02:18:31.511+01:00,""40"""
"2021-03-19T12:00:00.000+01:00,""25.2""","2021-03-17T02:46:31.344+01:00,""40"""
"2021-03-19T13:00:00.000+01:00,""25.2""","2021-03-17T03:14:31.177+01:00,""40"""
"2021-03-19T14:00:00.000+01:00,""25.2""","2021-03-17T03:42:31.010+01:00,""40"""
"2021-03-19T15:00:00.000+01:00,""25.2""","2021-03-17T04:10:30.843+01:00,""40"""
"2021-03-19T16:00:00.000+01:00,""25.2""","2021-03-17T04:38:30.676+01:00,""40"""
"2021-03-19T17:00:00.000+01:00,""25.2""","2021-03-17T05:06:30.509+01:00,""40"""
"2021-03-19T18:00:00.000+01:00,""25.2""","2021-03-17T05:34:30.342+01:00,""40"""
"2021-03-19T19:00:00.000+01:00,""25.2""","2021-03-17T06:02:30.175+01:00,""40"""
"2021-03-19T20:00:00.000+01:00,""25.2""","2021-03-17T06:30:30.008+01:00,""40"""
"2021-03-19T21:00:00.000+01:00,""25.2""","2021-03-17T06:58:29.841+01:00,""40"""
"2021-03-19T22:00:00.000+01:00,""25.2""","2021-03-17T07:26:29.674+01:00,""40"""
"2021-03-19T23:00:00.000+01:00,""25.2""","2021-03-17T07:54:29.507+01:00,""40"""
"2021-03-20T00:00:00.000+01:00,""25.2""","2021-03-17T08:22:29.340+01:00,""40"""
"2021-03-20T01:00:00.000+01:00,""25.2""","2021-03-17T08:50:29.173+01:00,""40"""
"2021-03-20T02:00:00.000+01:00,""25.2""","2021-03-17T09:18:29.006+01:00,""40"""
"2021-03-20T03:00:00.000+01:00,""25.2""","2021-03-17T09:46:28.839+01:00,""40"""
"2021-03-20T04:00:00.000+01:00,""25.2""","2021-03-17T10:14:28.672+01:00,""40"""
"2021-03-20T05:00:00.000+01:00,""25.2""","2021-03-17T10:42:28.505+01:00,""40"""
"2021-03-20T06:00:00.000+01:00,""25.2""","2021-03-17T11:10:28.338+01:00,""40"""
"2021-03-20T07:00:00.000+01:00,""25.2""","2021-03-17T11:38:28.171+01:00,""40"""
"2021-03-20T08:00:00.000+01:00,""25.2""","2021-03-17T12:06:28.004+01:00,""40"""
"2021-03-20T09:00:00.000+01:00,""25.2""","2021-03-17T12:34:27.837+01:00,""40"""
"2021-03-20T10:00:00.000+01:00,""25.2""","2021-03-17T13:02:27.670+01:00,""40"""
"2021-03-20T11:00:00.000+01:00,""25.2""","2021-03-17T13:30:27.503+01:00,""40"""
"2021-03-20T12:00:00.000+01:00,""25.2""","2021-03-17T13:58:27.336+01:00,""40"""
"2021-03-20T13:00:00.000+01:00,""25.2""","2021-03-17T14:26:27.169+01:00,""40"""
"2021-03-20T14:00:00.000+01:00,""25.2""","2021-03-17T14:54:27.002+01:00,""40"""
"2021-03-20T15:00:00.000+01:00,""25.2""","2021-03-17T15:22:26.835+01:00,""40"""
"2021-03-20T16:00:00.000+01:00,""25.2""","2021-03-17T15:50:26.668+01:00,""40"""
"2021-03-20T17:00:00.000+01:00,""25.2""","2021-03-17T16:18:26.501+01:00,""40"""
"2021-03-20T18:00:00.000+01:00,""25.2""","2021-03-17T16:46:26.334+01:00,""40"""
"2021-03-20T19:00:00.000+01:00,""25.2""","2021-03-17T17:14:26.167+01:00,""40"""
"2021-03-20T20:00:00.000+01:00,""25.2""","2021-03-17T17:42:26.000+01:00,""40"""
"2021-03-20T21:00:00.000+01:00,""25.2""","2021-03-17T18:10:25.833+01:00,""40"""
"2021-03-20T22:00:00.000+01:00,""25.2""","2021-03-17T18:38:25.666+01:00,""40"""
"2021-03-20T23:00:00.000+01:00,""25.2""","2021-03-17T19:06:25.499+01:00,""40"""
"2021-03-21T00:00:00.000+01:00,""25.2""","2021-03-17T19:34:25.332+01:00,""40"""
"2021-03-21T01:00:00.000+01:00,""25.2""","2021-03-17T20:02:25.165+01:00,""40"""
"2021-03-21T02:00:00.000+01:00,""25.2""","2021-03-17T20:30:24.998+01:00,""40"""
"2021-03-21T03:00:00.000+01:00,""25.2""","2021-03-17T20:58:24.831+01:00,""40"""
"2021-03-21T04:00:00.000+01:00,""25.2""","2021-03-17T21:26:24.664+01:00,""40"""
"2021-03-21T05:00:00.000+01:00,""25.2""","2021-03-17T21:54:24.497+01:00,""40"""
"2021-03-21T06:00:00.000+01:00,""25.2""","2021-03-17T22:22:24.330+01:00,""40"""
"2021-03-21T07:00:00.000+01:00,""25.2""","2021-03-17T22:50:24.163+01:00,""40"""
"2021-03-21T08:00:00.000+01:00,""25.2""","2021-03-17T23:18:23.996+01:00,""40"""
"2021-03-21T09:00:00.000+01:00,""25.2""","2021-03-17T23:46:23.829+01:00,""40"""
"2021-03-21T10:00:00.000+01:00,""25.2""","2021-03-18T00:14:23.662+01:00,""40"""
"2021-03-21T11:00:00.000+01:00,""25.2""","2021-03-18T00:42:23.495+01:00,""40"""
"2021-03-21T12:00:00.000+01:00,""24.3""","2021-03-18T01:10:23.328+01:00,""40"""
"2021-03-21T13:00:00.000+01:00,""24.3""","2021-03-18T01:38:23.161+01:00,""40"""
"2021-03-21T14:00:00.000+01:00,""24.3""","2021-03-18T02:06:22.994+01:00,""40"""
"2021-03-21T15:00:00.000+01:00,""25.2""","2021-03-18T02:34:22.827+01:00,""40"""
"2021-03-21T16:00:00.000+01:00,""25.2""","2021-03-18T03:02:22.660+01:00,""40"""
"2021-03-21T17:00:00.000+01:00,""25.2""","2021-03-18T03:30:22.493+01:00,""40"""
"2021-03-21T18:00:00.000+01:00,""25.2""","2021-03-18T03:58:22.326+01:00,""40"""
"2021-03-21T19:00:00.000+01:00,""25.2""","2021-03-18T04:26:22.159+01:00,""40"""
"2021-03-21T20:00:00.000+01:00,""25.2""","2021-03-18T04:54:21.992+01:00,""40"""
"2021-03-21T21:00:00.000+01:00,""25.2""","2021-03-18T05:22:21.825+01:00,""40"""
"2021-03-21T22:00:00.000+01:00,""25.2""","2021-03-18T05:50:21.658+01:00,""40"""
"2021-03-21T23:00:00.000+01:00,""25.2""","2021-03-18T06:18:21.491+01:00,""40"""
